population,frequency,SNR_median,variance,variance_smoothed,slope,intercept,equation
18-25,0.0,12.741673828699362,616.306828368928,4.680256718722873,-0.040707098302973824,12.741673828699362,y = -0.040707x + 12.741674
18-25,39.06,11.244240862479483,69.49157483675639,5.423225850114193,-0.035995846569531184,12.65023862948537,y = -0.035996x + 12.650239
18-25,78.12,9.927376106127014,93.49448370318844,6.030245497678213,-0.031461414233982146,12.385141786085699,y = -0.031461x + 12.385142
18-25,117.19,8.783608405965184,96.48686518506402,6.486118666694531,-0.027125249046649508,11.96241634174204,y = -0.027125x + 11.962416
18-25,156.25,7.805466608317239,95.98595622616804,6.786237049737422,-0.022987644060177427,11.397285992719961,y = -0.022988x + 11.397286
18-25,195.31,6.9854795595064205,82.57308302430245,6.934970526836112,-0.019029308849258703,10.702093870855137,y = -0.019029x + 10.702094
18-25,234.38,6.316176105855971,77.10432022065844,4.650442736084532,-0.015267289225525813,9.89452335453471,y = -0.015267x + 9.894523
18-25,273.44,5.790085093689125,70.97848655183707,2.9215113484802018,-0.011700079774713646,8.989354907286824,y = -0.011700x + 8.989355
18-25,312.5,5.399735369329135,62.996892249952325,1.6794008600754016,-0.008319545018694505,7.999593187671168,y = -0.008320x + 7.999593
18-25,351.56,5.137655779099231,67.13024294793122,0.8590197639816877,-0.00513151853682893,6.94169243590681,y = -0.005132x + 6.941692
18-25,390.62,4.996375169322664,69.53178196110522,0.3989605503698903,-0.002134426917436132,5.830125011811566,y = -0.002134x + 5.830125
18-25,429.69,4.968422386322669,76.41361739764886,0.24149970647011515,0.0006714478798295683,4.679907946838702,y = 0.000671x + 4.679908
18-25,468.75,5.046326276422492,75.27663829719332,0.3325977165717421,0.003286022232548644,3.5060033549153147,y = 0.003286x + 3.506003
18-25,507.81,5.222615685945372,70.41106188909794,0.6218990620234285,0.005707758091873206,2.324159049311239,y = 0.005708x + 2.324159
18-25,546.88,5.489819461214548,76.1263929741156,1.0627322212331038,0.007939851821307279,1.1476732971780237,y = 0.007940x + 1.147673
18-25,585.94,5.840466448553267,90.5408906668849,1.6121096696679742,0.00998183138402481,-0.008287832602230871,y = 0.009982x + -0.008288
18-25,625.0,6.2670854942847685,96.31510316558922,2.230727879854519,0.011830674644914524,-1.1270861587868088,y = 0.011831x + -1.127086
18-25,664.06,6.76220544473229,88.068015785124,2.8829673213784988,0.013489555764352786,-2.1956689561438214,y = 0.013490x + -2.195669
18-25,703.12,7.318355146219077,91.83901810544688,3.5368924608849377,0.014953779097544435,-3.195946012846366,y = 0.014954x + -3.195946
18-25,742.19,7.9280634450683705,99.62287392657456,4.164251762078143,0.01622679261995435,-4.1152997695355475,y = 0.016227x + -4.115300
18-25,781.25,8.583859187603414,90.16663681777274,4.74047768572071,0.017324146790100727,-4.950630492162778,y = 0.017324x + -4.950630
18-25,820.31,9.278271220147436,94.62375560237842,4.9982767615927655,0.018179214311737156,-5.634320071913669,y = 0.018179x + -5.634320
18-25,859.38,10.003828389023703,107.66200407822599,5.117932760115444,0.019005258127394342,-6.328910340496446,y = 0.019005x + -6.328910
18-25,898.44,10.75305954055543,100.50826454381792,5.262514941119447,0.01905660457218679,-6.368156271280071,y = 0.019057x + -6.368156
18-25,937.5,11.51849352106587,97.01589424897044,5.390170103681288,0.021102051083256933,-8.264679369487503,y = 0.021102x + -8.264679
18-25,976.56,12.29265917687687,85.4262999721791,5.443421606007516,0.014784011088751672,-2.1448146919544637,y = 0.014784x + -2.144815
18-25,1015.62,12.713317175925491,82.42051160788803,5.373903729035346,0.011530234428066718,1.0029804860923708,y = 0.011530x + 1.002980
18-25,1054.69,13.34918797707607,88.54979110629246,5.148964901684116,0.020227739032791455,-7.984806103418752,y = 0.020228x + -7.984806
18-25,1093.75,14.199456499579306,92.68279507868962,4.782627494670462,0.0216899233664502,-9.5238971824756,y = 0.021690x + -9.523897
18-25,1132.81,14.988752406621286,99.486712798189,4.316249450948957,0.01893917499335969,-6.4657344176065035,y = 0.018939x + -6.465734
18-25,1171.88,15.683641985094102,96.23448442107846,3.7851112941892007,0.01653272686787119,-3.6907299768267876,y = 0.016533x + -3.690730
18-25,1210.94,16.272820562185238,81.63299471728992,3.228737477913269,0.013538657190574538,-0.12168097616909179,y = 0.013539x + -0.121681
18-25,1250.0,16.74541008856178,81.23805495022238,2.4591837655048487,0.010861653852755334,3.1683427726176117,y = 0.010862x + 3.168343
18-25,1289.06,17.134399759901974,83.9550373763741,1.6759286198434016,0.009188244888168667,5.290200804359273,y = 0.009188x + 5.290201
18-25,1328.12,17.461879657521358,89.0827654542727,1.0654753108889718,0.007413751307287095,7.615528271287223,y = 0.007414x + 7.615528
18-25,1367.19,17.705488912544094,80.74410084744837,0.62695143640166,0.005014705978866109,10.849433045298138,y = 0.005015x + 10.849433
18-25,1406.25,17.858658746515395,90.3416147876606,0.33553096279810773,0.002996897123888723,13.644272166046878,y = 0.002997x + 13.644272
18-25,1445.31,17.9501785997397,95.64556724545177,0.16080765278389164,0.0017910762779295864,15.36151814448529,y = 0.001791x + 15.361518
18-25,1484.38,17.99735860381679,90.08856336606397,0.0696766157800863,0.0004908163477478156,17.268800633546885,y = 0.000491x + 17.268801
18-25,1523.44,17.987654193750874,84.04153172217227,0.04068302255290771,-0.0008771768782418881,19.323980537139697,y = -0.000877x + 19.323981
18-25,1562.5,17.93159516636635,82.86870648037525,0.05769381044372501,-0.0020330640921103144,21.108257810288716,y = -0.002033x + 21.108258
