population,frequency,SNR_median,variance,variance_smoothed,slope,intercept,equation
AND,0.0,10.839656380533183,155.67337157231674,5.038226386248685,-0.041432493539913844,10.839656380533183,y = -0.041432x + 10.839656
AND,39.06,9.310411486445886,68.84451888907068,5.893423864742764,-0.03689703456937315,10.751609656725602,y = -0.036897x + 10.751610
AND,78.12,7.955136880425442,82.84739076952441,6.619887867011964,-0.03252464468856458,10.495962123496106,y = -0.032525x + 10.495962
AND,117.19,6.766874993506504,77.95015911867364,7.198184490336585,-0.028337682199880573,10.087767970510509,y = -0.028338x + 10.087768
AND,156.25,5.738668256723739,82.93550749345549,7.619222389269628,-0.0243364303144483,9.541235493356286,y = -0.024336x + 9.541235
AND,195.31,4.863559101111807,69.76967669066316,7.882788656785264,-0.020500612855283044,8.867533797877138,y = -0.020501x + 8.867534
AND,234.38,4.13458995770537,54.08756016579406,5.485701445074291,-0.016848366254961927,8.083510040543347,y = -0.016848x + 8.083510
AND,273.44,3.5448032575390913,71.81045129799303,3.621046324782822,-0.013378068234843214,7.202902235674619,y = -0.013378x + 7.202902
AND,312.5,3.087241431647629,53.30395274596422,2.2265082366437,-0.010080875863863406,6.237515139104943,y = -0.010081x + 6.237515
AND,585.94,3.00216933701393,67.89251723385688,1.0644851769712211,0.008004371233415153,-1.6879119434933454,y = 0.008004x + -1.687912
AND,625.0,3.351934022568851,73.5569681255454,1.5709307184200234,0.009875082830278725,-2.8199927463553514,y = 0.009875x + -2.819993
AND,664.06,3.771305461710546,69.12448747545812,2.130428823361822,0.011568732522015013,-3.9110270568587424,y = 0.011569x + -3.911027
AND,703.12,4.253326085473674,60.60791963078096,2.7126135580283655,0.013081328318590699,-4.944417481893819,y = 0.013081x + -4.944417
AND,742.19,4.79103832489291,63.1204816644852,3.2903139012012934,0.014415698378280316,-5.908148854482959,y = 0.014416x + -5.908149
AND,781.25,5.377484611002909,77.90495532286212,3.8395537442114813,0.015586368050213895,-6.7993654282266975,y = 0.015586x + -6.799365
AND,820.31,6.005707374838321,74.57825484020506,4.1316415516364495,0.01653138318011245,-7.555151561639722,y = 0.016531x + -7.555152
AND,859.38,6.668749047433825,77.90679004962918,4.328145036341741,0.017450418882633947,-8.327791931924136,y = 0.017450x + -8.327792
AND,898.44,7.359652059824079,81.9806387434555,4.542714640643927,0.017643647365313354,-8.492106479068052,y = 0.017644x + -8.492106
AND,937.5,8.07145884304374,78.49638506762649,4.74641800032024,0.019709998999424105,-10.406665218916359,y = 0.019710x + -10.406665
AND,976.56,8.797211828126457,74.31637146324167,4.874173135823229,0.013928013188632273,-4.804328731364274,y = 0.013928x + -4.804329
AND,1015.62,9.205358105505278,88.06298150087265,4.852265445549131,0.011666985301464497,-2.643865506368094,y = 0.011667x + -2.643866
AND,1054.69,9.841408072661881,82.72217087423648,4.687411069909426,0.01958943212800035,-10.819370098418808,y = 0.019589x + -10.819370
AND,1093.75,10.646285759585613,81.50896734020506,4.429055965981428,0.020633622858164908,-11.921739241532254,y = 0.020634x + -11.921739
AND,1132.81,11.412531540916927,93.86199946553222,4.090909524049971,0.01854608168166294,-9.596655248887668,y = 0.018546x + -9.596655
AND,1171.88,12.0789579605413,83.81864492801046,3.7050713054659767,0.015205505156332073,-5.740069422061131,y = 0.015206x + -5.740069
AND,1210.94,12.606644431355978,69.89369919011781,3.3095600032700894,0.01233196972128182,-2.3266309829330307,y = 0.012332x + -2.326631
AND,1250.0,13.075442592129669,64.36324126308901,2.699957160348177,0.012001533899275902,-1.9264747819652097,y = 0.012002x + -1.926475
AND,1289.06,13.536432648529537,65.69669127126969,2.063403233089935,0.011074200148093839,-0.738875794372305,y = 0.011074x + -0.738876
AND,1328.12,13.928438922737286,92.64853228621297,1.5383363383904396,0.009215976614924274,1.6885160609240604,y = 0.009216x + 1.688516
AND,1367.19,14.269517429611696,86.16621066481237,1.1197353712048932,0.00835985713495203,2.8400043532766297,y = 0.008360x + 2.840004
AND,1406.25,14.569250266142495,67.86208128272257,0.7922635780961915,0.006555285878476827,5.350879499534457,y = 0.006555x + 5.350879
AND,1445.31,14.786045890052415,63.876796921356906,0.5241253000847097,0.005090924116173025,7.428082355706381,y = 0.005091x + 7.428082
AND,1484.38,14.977077850006184,79.90123660558463,0.30947040119651925,0.004400403359951794,8.44520711056094,y = 0.004400x + 8.445207
AND,1523.44,15.106973883891422,91.20300359674955,0.16395463241039485,0.001952355737662683,12.132677058906584,y = 0.001952x + 12.132677
AND,1562.5,15.138663163376794,81.35787126690663,0.07694273813246102,0.00020072003122634577,14.82503811458563,y = 0.000201x + 14.825038
AND,1601.56,15.145118462477576,78.34842197862133,0.04464685033117592,0.00017445527308106477,14.865717875321867,y = 0.000174x + 14.865718
AND,1640.62,15.131972298351537,68.75396779013963,0.05655977674681658,-0.0014124324465350606,17.44923721878589,y = -0.001412x + 17.449237
AND,1679.69,15.041426419622706,77.61386825643541,0.0963065095504642,-0.0024865840502478,19.218116782983433,y = -0.002487x + 19.218117
AND,1718.75,14.950500917346332,86.97236190826794,0.1566519622508218,-0.0025772003412219842,19.380064003821616,y = -0.002577x + 19.380064
AND,1757.81,14.813765204193164,93.0980616246728,0.2313161750387601,-0.004690115001879921,23.058096255647705,y = -0.004690x + 23.058096
AND,1796.88,14.605602165392762,75.71066987074607,0.30744449899575566,-0.005147794407567294,23.855570980462282,y = -0.005148x + 23.855571
AND,1835.94,14.429886973655707,74.99178874072861,0.37032137137912846,-0.004198094827034041,22.137337190400586,y = -0.004198x + 22.137337
