ind;side;ampl;f_max;sym_max;f_Lw1;sym_Lw1;f_Lw2;sym_Lw2;slope_pre;slope_post;mean_500;mean_1000;mean_1500;mean_2000;mean_2500;mean_3000;mean_3500;mean_4000;mean_4500;mean_5000
NUK001;L;-5.978672316384181;1718.75;0.3409090909090909;1679.69;0.3258426966292135;1718.75;0.3409090909090909;0.01268118590988995;-0.010759601651519965;-4.718888888888889;-0.4916666666666667;-2.014871794871795;-5.7187179487179485;-4.683076923076923;-1.8284615384615388;-2.388611111111111;-11.206153846153844;-11.567435897435898;-16.136333333333333
NUK001;R;-2.9518926553672316;1562.5;0.2826086956521739;1562.5;0.2826086956521739;1445.31;0.24210526315789474;0.01268118590988995;-0.010759601651519965;-7.023333333333333;-0.8202777777777778;5.380512820512821;2.2028205128205127;1.1328205128205124;-3.473589743589743;-7.444444444444444;-3.49;-5.75794871794872;-15.493666666666666
NUK002;L;0.12338983050847452;1054.69;0.12380952380952381;1015.62;0.11320754716981132;976.56;0.102803738317757;0.01268118590988995;-0.010759601651519965;-4.113888888888889;4.319444444444445;2.604102564102564;0.3705128205128207;2.723333333333333;4.912307692307693;-4.145;2.090769230769231;-2.3512820512820514;-9.739666666666668
NUK002;R;-3.6664406779661016;1132.81;0.14563106796116504;1093.75;0.1346153846153846;1093.75;0.1346153846153846;0.01268118590988995;-0.010759601651519965;1.9908333333333335;6.676666666666667;3.9123076923076923;0.6507692307692309;-1.116153846153846;-0.5749999999999998;-11.84875;-9.99923076923077;-11.265769230769232;-14.340999999999998
NUK003;L;-0.8648305084745765;1054.69;0.12380952380952381;1015.62;0.11320754716981132;1015.62;0.11320754716981132;0.01268118590988995;-0.010759601651519965;4.456666666666667;9.19111111111111;3.0712820512820516;9.563333333333334;1.7374358974358972;2.5300000000000002;1.866388888888889;-10.88820512820513;-14.154358974358974;-15.565333333333337
NUK003;R;3.9505367231638413;3007.81;1.1454545454545455;3007.81;1.1454545454545455;2929.69;1.0701754385964912;0.01268118590988995;-0.010759601651519965;5.903888888888889;9.609444444444444;6.743333333333334;5.599487179487179;9.586153846153847;6.931282051282053;9.386388888888888;2.0797435897435896;-6.7789743589743585;-11.130333333333335
NUK004;L;-0.23322033898305086;1484.38;0.2553191489361702;1484.38;0.2553191489361702;1484.38;0.2553191489361702;0.01268118590988995;-0.010759601651519965;-4.072222222222222;-4.173055555555554;6.492051282051283;3.6484615384615386;0.7797435897435897;1.5289743589743592;4.171111111111111;1.4335897435897438;-6.864358974358973;-9.430333333333335
NUK004;R;-0.12290254237288144;1484.38;0.2553191489361702;1484.38;0.2553191489361702;1406.25;0.22916666666666666;0.01268118590988995;-0.010759601651519965;-6.565;0.5829166666666667;7.126346153846153;2.485192307692308;3.126923076923077;6.4417307692307695;3.0097916666666666;-3.8275;-5.121153846153846;-15.123500000000002
NUK005;L;0.49935028248587543;1562.5;0.2826086956521739;1562.5;0.2826086956521739;1562.5;0.2826086956521739;0.01268118590988995;-0.010759601651519965;0.42888888888888904;4.233888888888889;10.893333333333334;-0.3912820512820515;3.2361538461538464;4.956410256410257;6.69;-7.505897435897436;-7.588205128205129;-12.154333333333334
NUK005;R;0.6429096045197741;1328.12;0.20408163265306123;1328.12;0.20408163265306123;1210.94;0.16831683168316833;0.01268118590988995;-0.010759601651519965;-0.7888888888888891;6.398611111111112;7.509230769230769;5.96;2.614358974358974;-3.5105128205128207;-0.04833333333333344;-2.833589743589744;-6.424615384615384;-3.87
NUK006;L;4.276299435028248;976.56;0.102803738317757;1992.19;0.4567901234567901;1445.31;0.24210526315789474;0.01268118590988995;-0.010759601651519965;-6.745000000000001;5.818055555555556;11.460769230769229;6.142307692307693;8.089487179487177;0.4907692307692307;9.35611111111111;5.674615384615384;-0.6930769230769234;-4.215999999999999
NUK006;R;-2.6767514124293794;1210.94;0.16831683168316833;1445.31;0.24210526315789474;1562.5;0.2826086956521739;0.01268118590988995;-0.010759601651519965;-8.106666666666667;-3.3833333333333333;3.6441025641025644;-1.8825641025641024;-1.64051282051282;0.1469230769230769;1.6733333333333336;-2.577948717948718;-5.002307692307692;-15.163666666666668
NUK007;L;1.1535805084745765;1953.12;0.43902439024390244;1679.69;0.3258426966292135;1835.94;0.38823529411764707;0.01268118590988995;-0.010759601651519965;2.6170833333333334;5.054374999999999;9.8425;6.171730769230771;3.556538461538462;-2.1603846153846153;-2.3662499999999995;0.11999999999999995;-1.3761538461538463;-12.18425
NUK007;R;-0.39612994350282493;1718.75;0.3409090909090909;1757.81;0.3563218390804598;1796.88;0.37209302325581395;0.01268118590988995;-0.010759601651519965;-5.956666666666666;2.741111111111111;6.535128205128206;3.8612820512820525;3.7841025641025636;3.5146153846153845;-0.6713888888888889;-3.414615384615385;-4.357692307692308;-16.483666666666668
NUK008;L;-8.586129943502826;898.44;0.08256880733944955;898.44;0.08256880733944955;2031.25;0.475;0.01268118590988995;-0.010759601651519965;-4.840555555555556;-1.0788888888888886;-9.09;-3.3948717948717952;-10.26025641025641;-4.97974358974359;-10.400555555555558;-10.269743589743591;-11.826923076923077;-19.868666666666666
